dataset,n_neighbors,p,weights,cv_roc_auc,test_roc_auc
cancer,15,1,uniform,0.772364043002147,0.7524884153405278
cancer,20,2,distance,0.77761614813628,0.7700140235351504
cancer,24,1,uniform,0.7804160234569485,0.7669273215047863
cancer,25,1,uniform,0.7796913148808409,0.765601182854704
cancer,14,2,distance,0.7735227211778003,0.7665310042070606
cancer,7,1,distance,0.7501544993459688,0.7438265959392719
cancer,28,1,distance,0.7789461824842079,0.7742058411072494
cancer,16,1,distance,0.7710256897775585,0.764351259069569
cancer,18,1,distance,0.7732830011900987,0.7690842021827937
cancer,8,2,distance,0.7617127553340305,0.7551559356136821
cancer,19,1,uniform,0.7755198063617108,0.7582045302115725
cancer,20,2,uniform,0.7778485301171246,0.7634481129199439
cancer,2,2,uniform,0.6694961928724844,0.6968820498750076
cancer,24,2,uniform,0.7793788821394634,0.767479879275654
cancer,3,2,distance,0.7017770142649462,0.7169303700993842
cancer,16,2,uniform,0.7722723710541418,0.7582959880495092
cancer,17,2,distance,0.7735501710138036,0.7668320529236022
cancer,12,2,distance,0.7706197470908537,0.7629641485275288
cancer,17,1,uniform,0.7725629534096019,0.7547329431132248
cancer,10,1,uniform,0.7658989870408286,0.7590352722394975
cancer,28,2,uniform,0.7802687290390397,0.7702769648192184
cancer,9,2,uniform,0.7648691021138991,0.7480946283763185
cancer,9,1,distance,0.760847091295439,0.7607767819035426
cancer,25,2,distance,0.7798083350115824,0.7719232059020791
cancer,13,1,uniform,0.7660668797692867,0.7483956770928601
cancer,13,2,uniform,0.7715836833211883,0.7569279312237059
cancer,22,1,uniform,0.7786183112622126,0.7631623071763917
cancer,26,1,distance,0.7786408900747371,0.7720642034022316
cancer,1,1,uniform,0.6093224905643514,0.6702335223461984
cancer,29,1,uniform,0.7777318444926038,0.7718241265776478
cancer,26,2,uniform,0.7788117019149737,0.76793335772209
cancer,23,1,distance,0.7779716123690165,0.7741601121882813
cancer,19,2,distance,0.7760755657986887,0.768173434546674
cancer,6,1,uniform,0.7437568626935305,0.7371425522833973
cancer,7,2,uniform,0.7560634916965834,0.7393261081641364
cancer,22,1,uniform,0.7786183112622126,0.7631623071763917
cancer,22,2,distance,0.7763903456229775,0.7694119261020669
cancer,20,1,uniform,0.7759926765598882,0.7585932260228035
cancer,16,1,uniform,0.7724509611914746,0.752362660813365
cancer,12,1,distance,0.7653403057223893,0.7645875251509053
cancer,15,2,uniform,0.7739650527627812,0.7592524846045973
cancer,21,2,uniform,0.7777904372687475,0.7628460154868606
cancer,23,2,uniform,0.7776015410072605,0.7638025120419487
cancer,27,1,uniform,0.7772122299537713,0.7683754039387842
cancer,8,1,distance,0.7576453809511944,0.7534411011523687
cancer,18,2,uniform,0.7760780209439062,0.755018748856777
cancer,11,2,distance,0.7691280076647955,0.7613674471068836
cancer,28,1,uniform,0.7774328066972462,0.7691261203585147
cancer,30,1,uniform,0.7803771835233071,0.772468142186452
cancer,6,1,uniform,0.7437568626935305,0.7371425522833973
cancer,16,2,uniform,0.7722723710541418,0.7582959880495092
cancer,5,1,uniform,0.7315834388654002,0.7411400219498812
cancer,10,2,distance,0.7684403316702084,0.7565278031827327
alzheimer,13,2,distance,0.738119999806288,0.7048850574712644
alzheimer,25,2,uniform,0.7552150123652893,0.7364186327888688
alzheimer,14,2,uniform,0.7380712691048563,0.711607683000605
alzheimer,25,1,distance,0.7644766302487909,0.7433756805807623
alzheimer,24,1,distance,0.7601922027649174,0.7375529340592861
alzheimer,22,2,uniform,0.7542255268969258,0.7290986085904416
alzheimer,19,2,uniform,0.7451793733736254,0.7125075620084694
alzheimer,17,2,uniform,0.7430647030716283,0.708529945553539
alzheimer,29,2,distance,0.7600501472211999,0.7361917725347853
alzheimer,1,2,distance,0.5935130658814869,0.5685269207501512
alzheimer,30,1,distance,0.7742658311217868,0.7535390199637023
alzheimer,30,1,uniform,0.7725208280869638,0.751731699939504
alzheimer,14,1,distance,0.7427998219462901,0.7397156684815487
alzheimer,28,1,uniform,0.7717517304948054,0.7470583787053842
alzheimer,9,1,uniform,0.72487953528466,0.7016787658802177
alzheimer,28,1,distance,0.7734611187519775,0.7489413188142772
alzheimer,29,1,distance,0.774437750615036,0.7517241379310344
alzheimer,19,1,distance,0.7540777205250888,0.7333787053841501
alzheimer,7,2,distance,0.7094150943700805,0.6745916515426498
alzheimer,5,1,distance,0.7012376791029838,0.669532667876588
alzheimer,30,2,uniform,0.7590321901090599,0.7415154264972778
alzheimer,1,1,uniform,0.6029022512575144,0.5307168784029038
alzheimer,21,1,uniform,0.7523084631204437,0.7346869328493648
alzheimer,17,1,uniform,0.7423870133790494,0.7339156079854809
alzheimer,21,2,distance,0.7539825594534737,0.7200393224440411
alzheimer,12,1,uniform,0.7315954734323848,0.7302934059286147
alzheimer,27,2,uniform,0.7573944551524192,0.7313218390804598
