dataset,n_neighbors,p,weights,cv_roc_auc,test_roc_auc
alzheimer,20,1,distance,0.7561520990242661,0.7263611615245009
alzheimer,4,2,uniform,0.6772904176198242,0.641303690260133
alzheimer,27,1,uniform,0.7639803745068324,0.7381125226860255
alzheimer,18,1,distance,0.7527893057796252,0.7269736842105263
alzheimer,9,1,distance,0.717556727532461,0.7040154264972777
alzheimer,22,2,distance,0.751839085120734,0.7267090139140956
alzheimer,22,1,uniform,0.7597175967227245,0.7283121597096188
alzheimer,23,2,distance,0.7526955360839229,0.7252722323049003
alzheimer,6,2,distance,0.6964952982776922,0.6490018148820327
alzheimer,19,2,distance,0.7447381260538352,0.7234271022383545
alzheimer,14,1,uniform,0.7397566976838021,0.7245311554748941
alzheimer,26,2,uniform,0.7546501624361331,0.7283953418027828
alzheimer,2,2,uniform,0.6359330023840946,0.6108892921960074
alzheimer,13,2,uniform,0.7332498341679117,0.6914095583787054
alzheimer,28,2,uniform,0.7608312717427708,0.7331669691470054
alzheimer,9,2,uniform,0.7229410960400705,0.6784709618874774
alzheimer,7,2,distance,0.7133806175410469,0.6512477313974592
alzheimer,15,1,distance,0.7424615391317928,0.7258091349062311
