dataset,n_neighbors,p,weights,cv_roc_auc,test_roc_auc,star_test_roc_auc,diff_from_mean
diabetes,8,2,distance,0.8062983739837399,0.744,0.800597014925373,0.05659701492537306
diabetes,1,2,uniform,0.670869918699187,0.6561194029850747,0.800597014925373,0.1444776119402984
diabetes,23,2,distance,0.8169650406504065,0.7867462686567164,0.800597014925373,0.013850746268656677
diabetes,5,1,distance,0.7800260162601627,0.7300298507462686,0.800597014925373,0.07056716417910447
diabetes,8,2,uniform,0.7999682926829269,0.7423283582089553,0.800597014925373,0.05826865671641779
diabetes,3,1,uniform,0.7551764227642278,0.6960597014925374,0.800597014925373,0.10453731343283568
diabetes,5,1,distance,0.7800260162601627,0.7300298507462686,0.800597014925373,0.07056716417910447
diabetes,3,1,uniform,0.7551764227642278,0.6960597014925374,0.800597014925373,0.10453731343283568
diabetes,26,1,uniform,0.8038308943089432,0.8065074626865671,0.800597014925373,-0.005910447761194093
diabetes,14,1,uniform,0.8048943089430894,0.7810149253731342,0.800597014925373,0.019582089552238835
diabetes,9,1,uniform,0.7970422764227643,0.7715223880597015,0.800597014925373,0.029074626865671527
diabetes,26,2,distance,0.8143341463414634,0.783044776119403,0.800597014925373,0.01755223880597001
diabetes,13,1,uniform,0.806330081300813,0.781910447761194,0.800597014925373,0.018686567164179047
diabetes,7,1,distance,0.7892918699186993,0.7598805970149253,0.800597014925373,0.04071641791044778
diabetes,29,2,distance,0.8192146341463415,0.7908059701492538,0.800597014925373,0.009791044776119251
diabetes,30,1,uniform,0.8091162601626015,0.8111044776119404,0.800597014925373,-0.010507462686567326
diabetes,7,1,uniform,0.785178861788618,0.764179104477612,0.800597014925373,0.036417910447761104
diabetes,11,1,distance,0.8055869918699186,0.7717611940298508,0.800597014925373,0.02883582089552228
diabetes,13,2,uniform,0.8025691056910569,0.7762985074626865,0.800597014925373,0.02429850746268658
diabetes,27,1,distance,0.813539837398374,0.8077611940298507,0.800597014925373,-0.0071641791044776415
diabetes,28,2,distance,0.8183658536585365,0.7877014925373135,0.800597014925373,0.012895522388059577
diabetes,13,2,uniform,0.8025691056910569,0.7762985074626865,0.800597014925373,0.02429850746268658
diabetes,21,2,distance,0.8141252032520324,0.7818507462686567,0.800597014925373,0.01874626865671636
diabetes,28,2,distance,0.8183658536585365,0.7877014925373135,0.800597014925373,0.012895522388059577
diabetes,20,2,distance,0.814460975609756,0.7770746268656715,0.800597014925373,0.023522388059701527
diabetes,11,2,distance,0.8095674796747966,0.7717611940298508,0.800597014925373,0.02883582089552228
diabetes,23,2,uniform,0.8105219512195122,0.7875820895522389,0.800597014925373,0.0130149253731342
diabetes,7,2,uniform,0.7912585365853659,0.7410746268656718,0.800597014925373,0.059522388059701226
diabetes,1,1,uniform,0.6455528455284553,0.6497313432835822,0.800597014925373,0.15086567164179088
diabetes,30,1,distance,0.8142260162601624,0.8087164179104478,0.800597014925373,-0.008119402985074742
diabetes,13,1,uniform,0.806330081300813,0.781910447761194,0.800597014925373,0.018686567164179047
diabetes,7,2,distance,0.7978577235772357,0.7431641791044776,0.800597014925373,0.05743283582089542
diabetes,27,1,distance,0.813539837398374,0.8077611940298507,0.800597014925373,-0.0071641791044776415
diabetes,5,1,uniform,0.774560975609756,0.726865671641791,0.800597014925373,0.07373134328358211
diabetes,10,2,distance,0.8053235772357723,0.7663880597014925,0.800597014925373,0.034208955223880566
diabetes,15,1,distance,0.8098804878048782,0.7768955223880597,0.800597014925373,0.02370149253731335
diabetes,24,1,distance,0.8150626016260162,0.800597014925373,0.800597014925373,0.0
diabetes,17,2,uniform,0.8102788617886179,0.7756417910447762,0.800597014925373,0.0249552238805969
diabetes,26,2,distance,0.8143341463414634,0.783044776119403,0.800597014925373,0.01755223880597001
diabetes,30,1,distance,0.8142260162601624,0.8087164179104478,0.800597014925373,-0.008119402985074742
diabetes,3,1,uniform,0.7551764227642278,0.6960597014925374,0.800597014925373,0.10453731343283568
diabetes,17,2,uniform,0.8102788617886179,0.7756417910447762,0.800597014925373,0.0249552238805969
diabetes,27,1,distance,0.813539837398374,0.8077611940298507,0.800597014925373,-0.0071641791044776415
diabetes,2,2,distance,0.739889430894309,0.7149850746268656,0.800597014925373,0.0856119402985075
diabetes,23,1,distance,0.8148252032520326,0.802268656716418,0.800597014925373,-0.0016716417910449533
diabetes,1,1,uniform,0.6455528455284553,0.6497313432835822,0.800597014925373,0.15086567164179088
cancer,7,2,uniform,0.7560634916965834,0.7393261081641364,0.7725596000243887,0.03323349186025237
cancer,15,1,distance,0.7704862727206203,0.7639854277178221,0.7725596000243887,0.008574172306566652
cancer,29,1,uniform,0.7777318444926038,0.7718241265776478,0.7725596000243887,0.000735473446740964
cancer,26,1,uniform,0.7777348606326291,0.7641111822449851,0.7725596000243887,0.008448417779403639
cancer,11,1,distance,0.765412952718432,0.7633947625144808,0.7725596000243887,0.00916483750990793
cancer,21,2,distance,0.7776194358839204,0.7705703920492653,0.7725596000243887,0.001989207975123475
cancer,24,1,distance,0.7788540957538495,0.7725596000243887,0.7725596000243887,0.0
cancer,21,2,distance,0.7776194358839204,0.7705703920492653,0.7725596000243887,0.001989207975123475
cancer,12,2,distance,0.7706197470908537,0.7629641485275288,0.7725596000243887,0.00959545149685992
cancer,2,2,distance,0.6719899738264605,0.705075147856838,0.7725596000243887,0.06748445216755072
cancer,21,1,distance,0.775847967909017,0.7706999573196757,0.7725596000243887,0.0018596427047130604
cancer,26,2,uniform,0.7788117019149737,0.76793335772209,0.7725596000243887,0.004626242302298689
cancer,12,1,uniform,0.7650427311683863,0.7534906408145845,0.7725596000243887,0.019068959209804226
cancer,27,1,uniform,0.7772122299537713,0.7683754039387842,0.7725596000243887,0.004184196085604497
cancer,10,2,distance,0.7684403316702084,0.7565278031827327,0.7725596000243887,0.01603179684165601
cancer,28,2,uniform,0.7802687290390397,0.7702769648192184,0.7725596000243887,0.002282635205170358
cancer,30,2,uniform,0.7791168075048643,0.7793198585452106,0.7725596000243887,-0.006760258520821849
cancer,30,1,distance,0.7805941852762197,0.776751417596488,0.7725596000243887,-0.004191817572099299
cancer,23,2,distance,0.7775556541515025,0.7705665813060179,0.7725596000243887,0.001993018718370876
cancer,25,1,uniform,0.7796913148808409,0.765601182854704,0.7725596000243887,0.006958417169684705
cancer,19,1,uniform,0.7755198063617108,0.7582045302115725,0.7725596000243887,0.014355069812816201
cancer,9,1,distance,0.760847091295439,0.7607767819035426,0.7725596000243887,0.011782818120846139
cancer,4,1,distance,0.7211457165331242,0.7318799158587892,0.7725596000243887,0.04067968416559953
cancer,14,2,distance,0.7735227211778003,0.7665310042070606,0.7725596000243887,0.006028595817328175
cancer,9,2,uniform,0.7648691021138991,0.7480946283763185,0.7725596000243887,0.024464971648070266
cancer,2,2,distance,0.6719899738264605,0.705075147856838,0.7725596000243887,0.06748445216755072
cancer,15,2,uniform,0.7739650527627812,0.7592524846045973,0.7725596000243887,0.01330711541979146
cancer,12,1,distance,0.7653403057223893,0.7645875251509053,0.7725596000243887,0.007972074873483392
cancer,15,1,distance,0.7704862727206203,0.7639854277178221,0.7725596000243887,0.008574172306566652
cancer,17,2,distance,0.7735501710138036,0.7668320529236022,0.7725596000243887,0.00572754710078649
cancer,8,2,distance,0.7617127553340305,0.7551559356136821,0.7725596000243887,0.01740366441070662
cancer,30,2,distance,0.7823233907041521,0.7803563807084934,0.7725596000243887,-0.0077967806841047205
cancer,10,2,distance,0.7684403316702084,0.7565278031827327,0.7725596000243887,0.01603179684165601
cancer,29,1,distance,0.7790618951012507,0.7765837448936039,0.7725596000243887,-0.004024144869215207
cancer,26,2,distance,0.7810303297469405,0.772624382659594,0.7725596000243887,-6.478263520526273e-05
cancer,10,2,distance,0.7684403316702084,0.7565278031827327,0.7725596000243887,0.01603179684165601
cancer,14,1,distance,0.7660192044131205,0.7624992378513504,0.7725596000243887,0.010060362173038295
cancer,15,2,distance,0.7735054571187613,0.7668892140723127,0.7725596000243887,0.005670385952076029
cancer,23,2,uniform,0.7776015410072605,0.7638025120419487,0.7725596000243887,0.008757087982440015
cancer,30,2,uniform,0.7791168075048643,0.7793198585452106,0.7725596000243887,-0.006760258520821849
cancer,16,1,distance,0.7710256897775585,0.764351259069569,0.7725596000243887,0.008208340954819704
cancer,15,1,distance,0.7704862727206203,0.7639854277178221,0.7725596000243887,0.008574172306566652
