dataset,ccp_alpha,max_depth,min_samples_leaf,min_samples_split,cv_roc_auc,test_roc_auc
diabetes,0.0,19.0,16.0,57.0,0.7841592039800994,0.8211343283582089
diabetes,0.07133782099991516,25.0,60.0,2.0,0.6515422885572139,0.6417313432835822
diabetes,0.0,19.0,15.0,50.0,0.7809154228855721,0.8178507462686566
diabetes,0.0,19.0,14.0,47.0,0.7888159203980099,0.821134328358209
diabetes,0.0,19.0,15.0,41.0,0.7852338308457711,0.820955223880597
diabetes,0.0,19.0,15.0,48.0,0.7804776119402984,0.8178507462686566
diabetes,0.0,18.0,13.0,51.0,0.7828258706467661,0.8137313432835821
diabetes,0.0030763025995180103,30.0,32.0,18.0,0.7722786069651741,0.7877014925373135
diabetes,0.0,19.0,14.0,55.0,0.7809154228855721,0.8106268656716418
diabetes,0.023789326775180898,19.0,15.0,54.0,0.6922985074626865,0.6417313432835822
diabetes,0.1,1.0,1.0,2.0,0.557910447761194,0.5
diabetes,0.0,30.0,1.0,44.0,0.7644179104477612,0.8236417910447761
diabetes,0.0,23.0,32.0,60.0,0.7799402985074627,0.7829850746268657
diabetes,0.0,30.0,38.0,31.0,0.7667462686567164,0.7925970149253732
diabetes,0.0,1.0,60.0,38.0,0.6515422885572139,0.6417313432835822
diabetes,0.0,13.0,31.0,60.0,0.7821890547263681,0.7829850746268657
diabetes,0.0,26.0,21.0,35.0,0.7936517412935323,0.7895522388059701
diabetes,0.010734935087260339,30.0,41.0,2.0,0.7490348258706468,0.7157014925373134
diabetes,0.0,9.0,18.0,40.0,0.7828258706467661,0.8016716417910448
diabetes,0.1,30.0,60.0,60.0,0.557910447761194,0.5
diabetes,0.1,1.0,60.0,2.0,0.557910447761194,0.5
diabetes,0.0,22.0,21.0,26.0,0.7936517412935323,0.7895522388059701
diabetes,0.1,1.0,1.0,60.0,0.557910447761194,0.5
diabetes,0.0,23.0,39.0,2.0,0.7831840796019899,0.7973731343283582
diabetes,0.0,23.0,29.0,16.0,0.7764776119402986,0.7955223880597014
diabetes,0.0,21.0,17.0,31.0,0.7881990049751244,0.8275223880597015
diabetes,0.03611075598213817,1.0,60.0,60.0,0.6515422885572139,0.6417313432835822
diabetes,0.0,10.0,1.0,33.0,0.7664676616915423,0.8111641791044775
diabetes,0.0,30.0,7.0,60.0,0.7750447761194029,0.8185074626865672
diabetes,0.02219680301299394,30.0,60.0,60.0,0.6922985074626865,0.6417313432835822
diabetes,0.0,1.0,38.0,60.0,0.6515422885572139,0.6417313432835822
diabetes,0.0,8.0,24.0,38.0,0.7873233830845772,0.802865671641791
diabetes,0.05004837183429905,9.0,60.0,3.0,0.6515422885572139,0.6417313432835822
diabetes,0.0,12.0,1.0,4.0,0.6826865671641791,0.7122985074626867
diabetes,0.0,18.0,60.0,2.0,0.7521990049751244,0.7564179104477613
diabetes,0.0,11.0,1.0,60.0,0.7756417910447762,0.8094328358208955
diabetes,0.0,23.0,26.0,37.0,0.7862487562189054,0.8108059701492537
diabetes,0.0,28.0,26.0,60.0,0.7866666666666666,0.8152238805970149
diabetes,0.0,26.0,20.0,25.0,0.7944676616915421,0.7986268656716418
diabetes,0.0,10.0,37.0,45.0,0.7707462686567164,0.793134328358209
diabetes,0.0,7.0,10.0,46.0,0.7840000000000001,0.8154029850746269
diabetes,0.0,18.0,47.0,60.0,0.7773930348258707,0.7629850746268657
diabetes,0.0,5.0,1.0,27.0,0.7387860696517413,0.7810149253731343
diabetes,0.1,20.0,1.0,2.0,0.557910447761194,0.5
diabetes,0.0,25.0,24.0,29.0,0.7873233830845772,0.802865671641791
diabetes,0.0,9.0,19.0,53.0,0.7917213930348259,0.7973134328358209
